"Name";"Nation";"Position";"Club";"Int Caps";"Int Goals";"Wage";"Value";"Date Of Birth";"Contract End";"Unique ID";"Club ID"
"Donnarumma, Gianluigi";"Italie";"GK";"Man City";"74";"0";"290000";"103356000";"25.02.1999";"30.06.2030";"43252073";"679"
"Foden, Phil";"Angleterre";"AM RLC";"Man City";"45";"4";"150800";"125207500";"28.05.2000";"30.06.2027";"28108494";"679"
"Tonali, Sandro";"Italie";"DM";"Newcastle";"25";"2";"191400";"103808400";"08.05.2000";"30.06.2029";"43298481";"688"
"Ederson";"Brésil / Portugal";"GK";"Fenerbahçe";"29";"0";"265080";"347999990";"17.08.1993";"30.06.2028";"55057659";"1870"
"Isak, Alexander";"Suède / Érythrée";"AM L, ST";"Liverpool";"52";"16";"348000";"288352070";"21.09.1999";"30.06.2031";"93070286";"676"
"Fernández, Enzo";"Argentine";"DM, AM C";"Chelsea";"37";"5";"208800";"130642100";"17.01.2001";"30.06.2032";"14229525";"630"
"Bruno Guimarães";"Brésil / Espagne";"DM";"Newcastle";"35";"1";"208800";"93339400";"16.11.1997";"30.06.2028";"19297055";"688"
"Kulusevski, Dejan";"Suède / Macédoine du N.";"AM RC";"Spurs";"45";"5";"148480";"75922000";"25.04.2000";"30.06.2028";"43295814";"728"
"Dias, Rúben";"Portugal";"D C";"Man City";"68";"3";"232000";"103675000";"14.05.1997";"30.06.2029";"55070299";"679"
"Díaz, Luis";"Colombie";"AM RL";"FC Bayern München";"70";"21";"269160";"124001730";"13.01.1997";"30.06.2029";"76049803";"915"
"Mendes, Nuno";"Portugal / Cap-Vert";"D/WB L";"Paris SG";"37";"1";"148060";"191593460";"19.06.2002";"30.06.2029";"83261910";"868"
"Caicedo, Moisés";"Équateur";"DM";"Chelsea";"55";"3";"162400";"206195210";"02.11.2001";"30.06.2031";"86078360";"630"
"Thuram, Marcus";"France / Guadeloupe";"AM L, ST";"Blu-neri";"30";"2";"148250";"85210790";"06.08.1997";"30.06.2028";"48037335";"1135"
"Modric, Luka";"Croatie";"DM, AM C";"Casciavit";"188";"28";"124920";"6570500";"09.09.1985";"30.06.2026";"653054";"1099"
"Doku, Jérémy";"Belgique / Ghana";"AM RL, ST";"Man City";"33";"3";"64030";"105499680";"27.05.2002";"30.06.2028";"18106083";"679"
"Marquinhos";"Brésil / Portugal";"D C, DM";"Paris SG";"99";"7";"323880";"347999990";"14.05.1994";"30.06.2028";"19163495";"868"
"Tchouaméni, Aurélien";"France / Cameroun";"D C, DM";"R. Madrid";"41";"3";"240320";"73078070";"27.01.2000";"30.06.2028";"48042326";"1736"
"Kvaratskhelia, Khvicha";"Géorgie";"AM LC";"Paris SG";"41";"18";"315390";"132147590";"12.02.2001";"30.06.2029";"59130638";"868"
"Upamecano, Dayot";"France / Guinée-Bissau";"D C";"FC Bayern München";"30";"2";"384510";"65161190";"27.10.1998";"30.06.2030";"16182894";"915"
"Rodrygo";"Brésil / Espagne";"AM RL, ST";"R. Madrid";"33";"7";"231340";"81005380";"09.01.2001";"30.06.2028";"19306929";"1736"
"Guéhi, Marc";"Angleterre / Côte d'Ivoire";"D C";"Man City";"23";"0";"348000";"103675000";"13.07.2000";"30.06.2031";"28108033";"679"
"Musiala, Jamal";"Allemagne / Angleterre / Nigeria";"AM RLC";"FC Bayern München";"40";"8";"480640";"153561460";"26.02.2003";"30.06.2030";"28124579";"915"
"McTominay, Scott";"Écosse / Angleterre";"DM, AM LC";"Parthenope";"61";"12";"107190";"114907680";"08.12.1996";"30.06.2028";"29125343";"1150"
"de Jong, Frenkie";"Pays-Bas";"DM";"Barcelone";"59";"2";"240320";"78207930";"12.05.1997";"30.06.2029";"37047745";"1708"
"Oblak, Jan";"Slovénie";"GK";"A. Madrid";"77";"0";"357010";"347999990";"07.01.1993";"30.06.2028";"64016316";"1687"
"Camavinga, Eduardo";"France / R.D. Congo / Angola";"D L, DM";"R. Madrid";"26";"2";"159570";"100463510";"10.11.2002";"30.06.2029";"49056243";"1736"
"Williams, Nico";"Espagne / Ghana / Pays Basque";"AM RL";"A. Bilbao";"28";"6";"269160";"95235580";"12.07.2002";"30.06.2035";"67276230";"1664"
"Marmoush, Omar";"Égypte / Canada";"AM RLC, F C";"Man City";"37";"6";"301600";"84651000";"07.02.1999";"30.06.2029";"91205962";"679"
"Neves, João";"Portugal";"DM";"Paris SG";"16";"0";"175240";"167949860";"27.09.2004";"30.06.2029";"2000030130";"868"
"Bremer";"Brésil";"D C";"Juventus";"5";"0";"178520";"60148790";"18.03.1997";"30.06.2029";"19270493";"1139"
"Stones, John";"Angleterre";"D RC, DM";"Man City";"83";"3";"232000";"54742800";"28.05.1994";"30.06.2026";"28060397";"679"
"Barella, Nicolò";"Italie";"M C";"Blu-neri";"63";"10";"232110";"98735490";"07.02.1997";"30.06.2029";"43139595";"1135"
"Dimarco, Federico";"Italie";"D/WB L";"Blu-neri";"30";"3";"142850";"101021990";"10.11.1997";"30.06.2027";"43143488";"1135"
"Bastoni, Alessandro";"Italie";"D C";"Blu-neri";"37";"2";"196450";"93538880";"13.04.1999";"30.06.2028";"43252460";"1135"
"Maignan, Mike";"France / Guyane / Haïti";"GK";"Casciavit";"32";"0";"125930";"64757690";"03.07.1995";"30.06.2031";"85094520";"1099"
"Pacho, Willian";"Équateur";"D LC";"Paris SG";"27";"2";"87520";"108229430";"16.10.2001";"30.06.2029";"86075795";"868"
"Çalhanoglu, Hakan";"Turquie / Allemagne";"DM";"Blu-neri";"97";"21";"214180";"347999990";"08.02.1994";"30.06.2027";"92026209";"1135"
"Kobel, Gregor";"Suisse";"GK";"Borussia Dortmund";"13";"0";"173030";"96271750";"06.12.1997";"30.06.2028";"98040383";"907"
"Olmo, Dani";"Espagne";"AM/F C";"Barcelone";"43";"11";"240590";"66503500";"07.05.1998";"30.06.2030";"24048100";"1708"
"Zubimendi, Martín";"Espagne / Pays Basque";"DM";"Arsenal";"19";"2";"170820";"76947150";"02.02.1999";"30.06.2030";"67246385";"602"
"Lewandowski, Robert";"Pologne";"ST";"Barcelone";"158";"85";"501240";"4220750";"21.08.1988";"30.06.2026";"719601";"1708"
"Cristiano Ronaldo";"Portugal";"ST";"Al Nassr";"221";"138";"3959890";"347999990";"05.02.1985";"30.06.2027";"735216";"102862"
"Osimhen, Victor";"Nigeria";"ST";"Galatasaray";"40";"26";"506060";"75787480";"29.12.1998";"30.06.2029";"13158205";"1871"
"Alexander-Arnold, Trent";"Angleterre";"D/WB R, DM";"R. Madrid";"34";"4";"288380";"57977420";"07.10.1998";"30.06.2031";"28104124";"1736"
"Gordon, Anthony";"Angleterre / Irlande / Écosse";"AM RL";"Newcastle";"12";"1";"150800";"91485330";"24.02.2001";"30.06.2029";"28116386";"688"
"Raya, David";"Espagne";"GK";"Arsenal";"11";"0";"185600";"70687500";"15.09.1995";"30.06.2028";"29111433";"602"
"Koundé, Jules";"France / Bénin";"D RC";"Barcelone";"42";"0";"260640";"63775160";"12.11.1998";"30.06.2030";"48036304";"1708"
"Cherki, Rayan";"France / Algérie / Italie";"AM RLC, F C";"Man City";"2";"1";"127600";"96209620";"17.08.2003";"30.06.2030";"49056279";"679"
"Grimaldo, Alejandro";"Espagne";"D/WB/AM L";"Bayer 04 Leverkusen";"10";"0";"115350";"110205820";"20.09.1995";"30.06.2027";"67153376";"901"
"Simón, Unai";"Espagne / Pays Basque";"GK";"A. Bilbao";"50";"0";"82510";"204991590";"11.06.1997";"30.06.2029";"67200923";"1664"
"Fabián";"Espagne";"DM, AM C";"Paris SG";"39";"6";"175240";"44570250";"03.04.1996";"30.06.2027";"67216396";"868"
"Leão, Rafael";"Portugal / Angola";"AM L, ST";"Casciavit";"40";"5";"123570";"63682530";"10.06.1999";"30.06.2028";"83111483";"1099"
"Guirassy, Serhou";"Guinée / France";"ST";"Borussia Dortmund";"24";"9";"201870";"50123990";"12.03.1996";"30.06.2028";"85111795";"907"
"Pulisic, Christian";"États-Unis / Croatie";"AM RLC, F C";"Casciavit";"78";"32";"98900";"63682530";"18.09.1998";"30.06.2027";"92074020";"1099"
"Schlotterbeck, Nico";"Allemagne";"D LC";"Borussia Dortmund";"20";"0";"86510";"101021990";"01.12.1999";"30.06.2027";"92088306";"907"
"Xhaka, Granit";"Suisse / Albanie / Kosovo";"DM";"Sunderland";"137";"14";"133400";"347999990";"27.09.1992";"30.06.2028";"98003821";"722"
"Mac Allister, Alexis";"Argentine";"DM, AM C";"Liverpool";"38";"4";"203000";"69977000";"24.12.1998";"30.06.2028";"14157184";"676"
"Szoboszlai, Dominik";"Hongrie";"DM, AM RC";"Liverpool";"55";"16";"168200";"94488570";"25.10.2000";"30.06.2028";"16202373";"676"
"Tielemans, Youri";"Belgique / R.D. Congo";"DM, AM C";"Aston Villa";"77";"10";"179800";"76974700";"07.05.1997";"30.06.2027";"18077264";"603"
"Éder Militão";"Brésil / Espagne";"D C";"R. Madrid";"35";"2";"178520";"56016410";"18.01.1998";"30.06.2028";"19273276";"1736"
"Gvardiol, Joško";"Croatie";"D LC";"Man City";"42";"3";"232000";"94678810";"23.01.2002";"30.06.2028";"24060473";"679"
"Grealish, Jack";"Angleterre / Irlande";"AM RLC";"Everton";"39";"4";"313200";"66294000";"10.09.1995";"30.06.2027";"28067800";"650"
"Zambo Anguissa, André-Franck";"Cameroun";"DM";"Parthenope";"62";"5";"66700";"75073010";"16.11.1995";"30.06.2027";"48030711";"1150"
"Kamara, Boubacar";"France";"DM";"Aston Villa";"5";"0";"174000";"76974700";"23.11.1999";"30.06.2030";"48043084";"603"
"Torres, Ferran";"Espagne";"AM RL, ST";"Barcelone";"46";"20";"192270";"62240460";"29.02.2000";"30.06.2027";"89056845";"1708"
"Doué, Désiré";"France / Côte d'Ivoire";"AM RLC";"Paris SG";"3";"0";"52630";"101787790";"03.06.2005";"30.06.2029";"2000115202";"868"
"Fermín";"Espagne";"AM RLC";"Barcelone";"2";"0";"144190";"100463510";"11.05.2003";"30.06.2031";"2000141742";"1708"
"Lukaku, Romelu";"Belgique / R.D. Congo";"ST";"Parthenope";"124";"89";"148250";"347999990";"13.05.1993";"30.06.2027";"18007344";"1150"
"Davies, Alphonso";"Canada / Liberia / Ghana";"D/WB/AM L";"FC Bayern München";"58";"15";"288380";"79057900";"02.11.2000";"30.06.2030";"20041862";"915"
"Lookman, Ademola";"Nigeria / Angleterre";"AM RLC, F C";"A. Madrid";"29";"8";"120040";"87391180";"20.10.1997";"30.06.2030";"29141828";"1687"
"Semenyo, Antoine";"Ghana / Angleterre / Togo";"AM RL, ST";"Man City";"27";"3";"191400";"144197280";"07.01.2000";"30.06.2031";"29194724";"679"
"Dumfries, Denzel";"Pays-Bas / Aruba";"D/WB/M R";"Blu-neri";"65";"10";"98900";"25062000";"18.04.1996";"30.06.2028";"37052843";"1135"
"Timber, Jurriën";"Pays-Bas / Curaçao";"D RLC";"Arsenal";"18";"0";"127600";"79613890";"17.06.2001";"30.06.2028";"37063644";"602"
"Reijnders, Tijjani";"Pays-Bas / Indonésie";"DM, AM C";"Man City";"23";"4";"191400";"61491600";"29.07.1998";"30.06.2030";"37071126";"679"
"Gravenberch, Ryan";"Pays-Bas / Suriname";"DM, AM C";"Liverpool";"20";"1";"232000";"88831640";"16.05.2002";"30.06.2032";"37071197";"676"
"Konaté, Ibrahima";"France / Mali";"D C";"Liverpool";"23";"0";"162400";"50487840";"25.05.1999";"30.06.2026";"48037822";"676"
"Koné, Manu";"France / Côte d'Ivoire";"DM";"AS Roma";"8";"0";"100050";"68093440";"17.05.2001";"30.06.2029";"49047182";"1100"
"Barcola, Bradley";"France / Togo";"AM RL, ST";"Paris SG";"14";"2";"127240";"101787790";"02.09.2002";"30.06.2028";"49056282";"868"
"Ekitiké, Hugo";"France / Cameroun";"AM L, ST";"Liverpool";"0";"0";"290000";"90989240";"20.06.2002";"30.06.2031";"49062667";"676"
"Škriniar, Milan";"Slovaquie";"D C";"Fenerbahçe";"81";"3";"192780";"57879980";"11.02.1995";"30.06.2029";"63013145";"1870"
"Isco";"Espagne";"AM RLC";"Real Hispalis";"39";"12";"115480";"347999990";"21.04.1992";"30.06.2028";"67103537";"1733"
"Joan García";"Espagne";"GK";"Barcelone";"0";"0";"115390";"52836800";"04.05.2001";"30.06.2031";"67277675";"1708"
"Baena, Álex";"Espagne";"AM RLC";"A. Madrid";"10";"2";"120040";"93803440";"20.07.2001";"30.06.2030";"67287665";"1687"
"Tah, Jonathan";"Allemagne / Côte d'Ivoire";"D C";"FC Bayern München";"37";"0";"288380";"65271960";"11.02.1996";"30.06.2029";"91119700";"915"
"Gyökeres, Viktor";"Suède / Hongrie";"ST";"Arsenal";"26";"15";"232000";"64728000";"04.06.1998";"30.06.2030";"93070271";"602"
"Yildiz, Kenan";"Turquie / Allemagne";"AM RLC, F C";"Juventus";"21";"2";"213990";"134649080";"04.05.2005";"30.06.2030";"2000138835";"1139"
"Martínez, Emiliano";"Argentine";"GK";"Aston Villa";"53";"0";"185600";"347999990";"02.09.1992";"30.06.2029";"14020367";"603"
"Martinelli, Gabriel";"Brésil / Italie";"AM RL, ST";"Arsenal";"18";"2";"280720";"93939120";"18.06.2001";"30.06.2027";"19351309";"602"
"Gnabry, Serge";"Allemagne / Côte d'Ivoire";"AM RLC, F C";"FC Bayern München";"51";"22";"269160";"69103430";"14.07.1995";"30.06.2028";"28066083";"915"
"Lobotka, Stanislav";"Slovaquie";"DM";"Parthenope";"67";"4";"69210";"25062000";"25.11.1994";"30.06.2027";"63012964";"1150"
"Matheus Nunes";"Portugal / Brésil";"D/WB R, AM RC";"Man City";"16";"2";"150800";"63162000";"27.08.1998";"30.06.2028";"83188780";"679"
"Rabiot, Adrien";"France";"DM, M LC";"Casciavit";"53";"6";"178520";"55980670";"03.04.1995";"30.06.2028";"85086031";"1099"
"Havertz, Kai";"Allemagne";"AM/F C";"Arsenal";"55";"20";"255200";"45617000";"11.06.1999";"30.06.2028";"91151081";"602"
"Rüdiger, Antonio";"Allemagne / Sierra Leone";"D C";"R. Madrid";"79";"3";"278770";"26242260";"03.03.1993";"30.06.2026";"92023410";"1736"
"Palacios, Exequiel";"Argentine";"DM";"Bayer 04 Leverkusen";"36";"0";"144190";"88249100";"05.10.1998";"30.06.2030";"14110846";"901"
"Romero, Cristian";"Argentine";"D C";"Spurs";"44";"3";"232000";"67755600";"27.04.1998";"30.06.2029";"14130029";"728"
"Svilar, Mile";"Serbie / Belgique";"GK";"AS Roma";"1";"0";"84050";"48382180";"27.08.1999";"30.06.2030";"18087914";"1100"
"Joelinton";"Brésil";"AM LC";"Newcastle";"5";"1";"133400";"71519800";"14.08.1996";"30.06.2028";"19184436";"688"
"Éderson";"Brésil";"DM, AM C";"Bergamo";"2";"0";"49350";"49498690";"07.07.1999";"30.06.2027";"19326796";"1106"
"Kovacic, Mateo";"Croatie / Autriche";"DM";"Man City";"110";"5";"191400";"45338030";"06.05.1994";"30.06.2027";"24016925";"679"
"Pickford, Jordan";"Angleterre";"GK";"Everton";"76";"0";"220400";"347999990";"07.03.1994";"30.06.2029";"28054565";"650"
"Greenwood, Mason";"Jamaïque / Angleterre";"AM RLC";"Olympique de Marseille";"0";"0";"87720";"78440040";"01.10.2001";"30.06.2029";"28121564";"866"
"Botman, Sven";"Pays-Bas";"D C";"Newcastle";"0";"0";"145000";"67755600";"12.01.2000";"30.06.2030";"37063649";"688"
"van Hecke, Jan Paul";"Pays-Bas";"D C";"Brighton";"5";"0";"63800";"67755600";"08.06.2000";"30.06.2027";"37076335";"618"
"Mitoma, Kaoru";"Japon";"AM L";"Brighton";"27";"8";"100920";"75284000";"20.05.1997";"30.06.2027";"45111891";"618"
"Mamardashvili, Giorgi";"Géorgie";"GK";"Liverpool";"29";"0";"145000";"60652530";"29.09.2000";"30.06.2030";"59138294";"676"
"Griezmann, Antoine";"France / Portugal / Pays Basque";"AM RLC, F C";"A. Madrid";"135";"44";"269160";"347999990";"21.03.1991";"30.06.2027";"67086656";"1687"
"Sancet, Oihan";"Espagne / Pays Basque";"AM C";"A. Bilbao";"4";"1";"104890";"80198390";"25.04.2000";"30.06.2032";"67260204";"1664"
"Sommer, Yann";"Suisse";"GK";"Blu-neri";"94";"0";"61880";"4741450";"17.12.1988";"30.06.2026";"69000199";"1135"
"Costa, Diogo";"Portugal / Suisse";"GK";"FC Porto";"36";"0";"92280";"60148790";"19.09.1999";"30.06.2030";"83169226";"1478"
"Kanté, N'Golo";"France / Mali";"DM";"Fenerbahçe";"64";"2";"403880";"347999990";"29.03.1991";"30.06.2028";"85081880";"1870"
"Sané, Leroy";"Allemagne / France / Sénégal";"AM RLC";"Galatasaray";"70";"14";"289180";"61532210";"11.01.1996";"30.06.2028";"91138280";"1871"
"Neuer, Manuel";"Allemagne";"GK";"FC Bayern München";"123";"0";"346060";"3017290";"27.03.1986";"30.06.2026";"8718372";"915"
"Rrahmani, Amir";"Kosovo / Albanie";"D C";"Parthenope";"64";"7";"61880";"347999990";"24.02.1994";"30.06.2027";"11023165";"1150"
"De Paul, Rodrigo";"Argentine / Italie";"AM RC";"Inter Miami";"78";"2";"197510";"347999990";"24.05.1994";"31.12.2029";"14048343";"72052048"
"Retegui, Mateo";"Italie / Argentine";"ST";"Al-Qadsiah";"20";"6";"384510";"90480010";"29.04.1999";"30.06.2029";"14180903";"1104149"
"Trossard, Leandro";"Belgique";"AM RLC, F C";"Arsenal";"44";"10";"185600";"53484260";"04.12.1994";"30.06.2027";"18054004";"602"
"Neymar";"Brésil";"AM LC, F C";"SAN";"128";"79";"35530";"347999990";"05.02.1992";"31.12.2026";"19024412";"335"
"Frimpong, Jeremie";"Pays-Bas / Ghana / Angleterre";"D/WB/AM R";"Liverpool";"13";"1";"232000";"69474330";"10.12.2000";"30.06.2030";"28113828";"676"
"Rogers, Morgan";"Angleterre";"AM RLC, F C";"Aston Villa";"4";"0";"133400";"80620000";"26.07.2002";"30.06.2031";"28115996";"603"
"Colwill, Levi";"Angleterre";"D LC";"Chelsea";"5";"0";"87000";"109293270";"26.02.2003";"30.06.2029";"28124573";"630"
"White, Benjamin";"Angleterre";"D RC";"Arsenal";"4";"0";"127600";"60030000";"08.10.1997";"30.06.2028";"29141472";"602"
"Eze, Ebere";"Angleterre / Nigeria";"AM RLC";"Arsenal";"12";"1";"220400";"60030000";"29.06.1998";"30.06.2029";"29156522";"602"
"de Ligt, Matthijs";"Pays-Bas";"D C";"Man Utd";"50";"2";"255200";"82541250";"12.08.1999";"30.06.2029";"37055843";"680"
"Gakpo, Cody";"Pays-Bas / Togo";"AM RLC, F C";"Liverpool";"40";"15";"191400";"60030000";"07.05.1999";"30.06.2030";"37062185";"676"
"van de Ven, Micky";"Pays-Bas";"D LC";"Spurs";"12";"1";"98600";"76502000";"19.04.2001";"30.06.2029";"37084591";"728"
"Calafiori, Riccardo";"Italie";"D LC";"Arsenal";"9";"0";"75400";"82108670";"19.05.2002";"30.06.2029";"43424738";"602"
"Mbeumo, Bryan";"Cameroun / France";"AM RLC, F C";"Man Utd";"22";"6";"174000";"91712490";"07.08.1999";"30.06.2030";"48042658";"680"
"Milinkovic-Savic, Sergej";"Serbie / Espagne";"DM, AM C";"Al Hilal";"53";"9";"276660";"76368600";"27.02.1995";"30.06.2028";"62127037";"102852"
"Asensio, Marco";"Espagne / Pays-Bas";"AM RLC";"Fenerbahçe";"38";"2";"192780";"59547300";"21.01.1996";"30.06.2028";"67197125";"1870"
"Oyarzábal, Mikel";"Espagne / Pays Basque";"AM RLC, F C";"Real San Sebastián";"45";"16";"43230";"75185990";"21.04.1997";"30.06.2028";"67220143";"1742"
"Lee, Kang-In";"Corée du Sud";"AM RLC";"Paris SG";"42";"11";"140150";"43975450";"19.02.2001";"30.06.2028";"67260506";"868"
"Nico González";"Espagne";"DM, AM C";"Man City";"0";"0";"174000";"85625010";"03.01.2002";"30.06.2029";"67276127";"679"
"N'Diaye, Iliman";"Sénégal / France / Angleterre";"AM RLC, F C";"Everton";"27";"2";"63800";"73370000";"06.03.2000";"30.06.2029";"89063107";"650"
"Son, Heung-Min";"Corée du Sud";"AM L, ST";"LAFC";"138";"53";"184180";"347999990";"08.07.1992";"31.12.2026";"92020288";"72049313"
"Akanji, Manuel";"Suisse / Nigeria";"D RC";"Blu-neri";"71";"3";"150800";"54027000";"19.07.1995";"30.06.2027";"98031331";"1135"
"Gavi";"Espagne";"DM, AM C";"Barcelone";"27";"5";"180450";"111626120";"05.08.2004";"30.06.2030";"2000049413";"1708"
"Barrios, Pablo";"Espagne";"DM";"A. Madrid";"1";"0";"103530";"130848670";"15.06.2003";"30.06.2030";"2000125958";"1687"
"Pavlovic, Aleksandar";"Allemagne / Serbie";"DM";"FC Bayern München";"5";"1";"134580";"73782520";"03.05.2004";"30.06.2029";"2000171034";"915"
"Aghehowa, Samu";"Espagne / Nigeria";"ST";"FC Porto";"2";"0";"34690";"100247990";"05.05.2004";"30.06.2029";"2000211219";"1478"
"Mora, Rodrigo";"Portugal";"AM LC";"FC Porto";"0";"0";"21550";"70173590";"05.05.2007";"30.06.2030";"2000265865";"1478"
"Gabriel Jesus";"Brésil";"AM RL, ST";"Arsenal";"64";"19";"139200";"58464000";"03.04.1997";"30.06.2027";"19220266";"602"
"Nmecha, Felix";"Allemagne / Angleterre / Nigeria";"DM, AM C";"Borussia Dortmund";"4";"1";"192260";"61488380";"10.10.2000";"30.06.2030";"28113827";"907"
"Aké, Nathan";"Pays-Bas / Côte d'Ivoire";"D LC, DM";"Man City";"54";"5";"191400";"47355840";"18.02.1995";"30.06.2027";"37025551";"679"
"Madueke, Noni";"Angleterre / Nigeria";"AM RLC";"Arsenal";"7";"0";"116000";"86057300";"10.03.2002";"30.06.2030";"37076092";"602"
"Di Lorenzo, Giovanni";"Italie";"D RC";"Parthenope";"48";"5";"107190";"347999990";"04.08.1993";"30.06.2028";"43075156";"1150"
"Buongiorno, Alessandro";"Italie";"D C";"Parthenope";"10";"0";"89260";"54188040";"06.06.1999";"30.06.2029";"43270682";"1150"
"N'Dicka, Evan";"Côte d'Ivoire / France / Cameroun";"D C";"AS Roma";"20";"0";"98900";"51607660";"20.08.1999";"30.06.2028";"48032198";"1100"
"Fofana, Wesley";"France / Mali / Côte d'Ivoire";"D C";"Chelsea";"1";"0";"232000";"104516000";"17.12.2000";"30.06.2029";"49037900";"630"
"Mkhitaryan, Henrikh";"Arménie";"DM";"Blu-neri";"94";"32";"93890";"4853210";"21.01.1989";"30.06.2026";"59006269";"1135"
"Merino, Mikel";"Espagne / Pays Basque";"DM";"Arsenal";"35";"4";"162400";"55540800";"22.06.1996";"30.06.2028";"67211760";"602"
"Undav, Deniz";"Allemagne / Turquie / Syrie";"AM/F C";"VfB Stuttgart";"6";"3";"86510";"49788160";"19.07.1996";"30.06.2027";"91157307";"960"
